package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
com.hrudhaykanth116.todo.navigation.TodoNavigation,TodoNavigation,1,1,1,0,0,0,0,0,1,2,
com.hrudhaykanth116.todo.ui.components.ListItemsUI,ListItemsUI,1,0,1,0,0,0,0,0,1,2,
com.hrudhaykanth116.todo.ui.components.ListItemUIPreview,ListItemUIPreview,1,1,1,0,0,0,0,0,1,1,
com.hrudhaykanth116.todo.ui.components.TodoListItemUI,TodoListItemUI,1,1,1,0,0,0,0,0,1,2,
com.hrudhaykanth116.todo.ui.components.TodoListItemUIPreview,TodoListItemUIPreview,1,1,1,0,0,0,0,0,1,1,
com.hrudhaykanth116.todo.ui.screens.create.CreateOrUpdateTodoScreen,CreateOrUpdateTodoScreen,1,1,1,0,0,0,1,0,2,3,
com.hrudhaykanth116.todo.ui.screens.create.CreateTodoUI,CreateTodoUI,1,0,1,0,0,0,0,0,1,1,
com.hrudhaykanth116.todo.ui.screens.details.TodoDetailsScreen,TodoDetailsScreen,1,1,1,0,0,0,0,0,1,0,
com.hrudhaykanth116.todo.ui.screens.list.TodoListScreen,TodoListScreen,1,1,1,0,0,0,1,0,2,4,
